iter	Passed	Remaining
0	0	64
1	1	57
2	1	52
3	2	48
4	2	47
5	2	46
6	3	44
7	3	44
8	4	43
9	4	42
10	5	42
11	5	41
12	6	40
13	6	40
14	7	39
15	7	39
16	7	38
17	8	37
18	8	37
19	9	36
20	9	36
21	10	35
22	10	35
23	11	35
24	11	34
25	11	33
26	12	33
27	12	32
28	13	32
29	13	31
30	14	31
31	14	30
32	14	30
33	15	29
34	15	29
35	16	29
36	16	28
37	17	28
38	17	27
39	18	27
40	18	26
41	18	25
42	19	25
43	19	25
44	20	24
45	20	24
46	21	23
47	21	23
48	22	23
49	22	22
50	23	22
51	23	22
52	24	21
53	25	21
54	25	20
55	26	20
56	26	20
57	27	19
58	27	19
59	28	18
60	28	18
61	29	17
62	29	17
63	30	17
64	30	16
65	31	16
66	31	15
67	32	15
68	32	14
69	33	14
70	33	13
71	34	13
72	34	12
73	35	12
74	35	11
75	36	11
76	36	10
77	37	10
78	37	9
79	37	9
80	38	9
81	38	8
82	39	8
83	39	7
84	40	7
85	40	6
86	41	6
87	41	5
88	41	5
89	42	4
90	42	4
91	43	3
92	43	3
93	44	2
94	44	2
95	44	1
96	45	1
97	45	0
98	46	0
99	46	0
