iter	Passed	Remaining
0	0	707
1	1	616
2	1	585
3	2	568
4	2	565
5	3	554
6	3	545
7	4	535
8	4	531
9	5	529
10	5	529
11	6	525
12	6	521
13	7	516
14	7	514
15	8	515
16	8	513
17	9	514
18	10	516
19	10	517
20	11	515
21	11	515
22	12	513
23	12	511
24	12	505
25	13	504
26	13	500
27	14	497
28	14	497
29	15	495
30	15	494
31	16	493
32	16	492
33	17	490
34	17	489
35	18	487
36	18	486
37	19	486
38	19	485
39	20	484
40	20	484
41	21	485
42	21	484
43	22	485
44	22	486
45	23	484
46	23	484
47	24	482
48	24	481
49	25	480
50	25	480
51	26	480
52	26	479
53	27	478
54	27	478
55	28	477
56	28	475
57	29	474
58	29	473
59	30	473
60	30	472
61	31	471
62	31	470
63	32	469
64	32	468
65	32	466
66	33	465
67	33	464
68	34	463
69	34	463
70	35	462
71	35	462
72	36	461
73	36	461
74	37	460
75	37	460
76	38	459
77	38	458
78	39	458
79	39	457
80	40	457
81	40	456
82	41	453
83	41	453
84	42	452
85	42	452
86	43	452
87	43	451
88	44	451
89	44	450
90	45	449
91	45	448
92	45	448
93	46	447
94	46	447
95	47	446
96	47	445
97	48	444
98	48	444
99	49	444
100	49	443
101	50	442
102	50	442
103	51	442
104	51	441
105	52	441
106	52	440
107	53	439
108	53	439
109	54	438
110	54	438
111	55	438
112	55	437
113	56	437
114	56	438
115	57	439
116	57	437
117	58	436
118	58	436
119	59	436
120	59	435
121	60	434
122	60	433
123	61	433
124	61	432
125	62	432
126	62	431
127	63	431
128	63	430
129	64	430
130	64	429
131	65	429
132	65	428
133	66	427
134	66	427
135	67	428
136	67	428
137	68	427
138	68	426
139	69	426
140	69	425
141	70	424
142	70	423
143	71	423
144	71	422
145	72	421
146	72	421
147	73	420
148	73	420
149	74	419
150	74	419
151	75	418
152	75	418
153	76	417
154	76	416
155	76	416
156	77	415
157	77	415
158	78	414
159	78	414
160	79	412
161	79	412
162	80	413
163	80	412
164	81	412
165	82	412
166	82	412
167	83	411
168	83	411
169	84	410
170	84	410
171	85	410
172	85	410
173	86	410
174	86	409
175	87	409
176	87	408
177	88	408
178	88	407
179	89	407
180	89	406
181	90	406
182	90	405
183	91	405
